"","Organization","Website","Sector","Dimension","Component","Indicator","Resources","Latitude","Longitude"
"186","New England Anti-Vivisection Society","http://www.neavs.org/","Social","TBD","TBD","TBD",1132955,42.35696,-71.05902
"187","New England Historic Genealogical Society Inc","http://www.americanancestors.org/index.aspx","Social","TBD","TBD","TBD",10227820,42.35166,-71.07526
"188","The Home For Little Wanderers Inc","http://www.thehome.org/site/PageServer","Social","Opportunity","Tolerance and Inclusion","Community safety net",48027449,42.3577,-71.14754
"189","Newman Preparatory School","http://www.newmanboston.org/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Upper secondary school enrollment",6808973,42.35223,-71.08198
"190","Old South Association In Boston","http://www.osmh.org/","Social","TBD","TBD","TBD",960236,42.35709,-71.05867
"191","Paul Revere Memorial Assoc Corp","https://www.paulreverehouse.org/","Social","TBD","TBD","TBD",1374113,42.36373,-71.0537
"192","Proprietors Of The Social Law Library","http://www.socialaw.com/","Social","TBD","TBD","TBD",5180141,42.35921,-71.06113
"193","Proprietors Of The Boston Athenaeum","http://www.bostonathenaeum.org/","Social","TBD","TBD","TBD",5997286,42.35806,-71.0618
"194","Emmanuel College","https://www.emmanuel.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",95182461,42.34037,-71.10164
"195","Visiting Nurse Association Of Boston Inc","https://www.bostonvna.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",33480213,42.38113,-71.07247
"196","Winsor School Inc","https://www.winsor.edu/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Upper secondary school enrollment",40040968,42.34086,-71.10765
"197","Nurtury Inc","http://www.nurturyboston.org/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Primary school enrollment",17423344,42.34728,-71.0705
"198","Morgan Memorial Goodwill Industries Inc","http://www.goodwillmass.org/","Social","Opportunity","Personal Freedom and Choice","Freedom over life choices",27450386,42.33087,-71.07995
"199","Massachusetts Historical Society","https://www.masshist.org/","Social","TBD","TBD","TBD",3182300,42.34649,-71.08992
"200","Boston Center For Adult Education","http://www.bcae.org/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Adult literacy rate",1935471,42.3492,-71.06936
"201","The Boston Conservatory","https://www.bostonconservatory.edu/","Social","TBD","TBD","TBD",40605767,42.34615,-71.08995
"202","Handel And Haydn Society","https://handelandhaydn.org/","Social","TBD","TBD","TBD",7298077,42.34584,-71.07839
"203","Schepens Eye Research Institute Inc","http://www.schepens.harvard.edu/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",22995526,42.36205,-71.06426
"204","Suffolk University","http://www.suffolk.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",315643732,42.35886,-71.06184
"205","New England Law Boston","http://www.nesl.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",38070154,42.35077,-71.06645
"206","Joslin Diabetes Center Inc","http://www.joslin.org/","Social","Foundations of Wellbeing","Health and Wellness","Premature deaths from non-communicable diseases",100951725,42.33864,-71.1083
"207","Commonwealth School Inc","http://www.commschool.org/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Upper secondary school enrollment",10164915,42.35234,-71.07819
"208","Health Resources In Action Inc","http://www.hria.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",10235589,42.34728,-71.0705
"209","Massachusetts Higher Education Assistance Corporation","http://www.asa.org/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",176374512,42.36047,-71.06209
"210","Beacon Hill Nursery School","http://www.bhns.net/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Primary school enrollment",3299226,42.36075,-71.06537
"211","Third Sector New England Inc","http://tsne.org/","Social","TBD","TBD","TBD",36602911,42.35185,-71.05743
"212","Dana-Farber Cancer Institute","http://www.dana-farber.org/","Social","Foundations of Wellbeing","Health and Wellness","Premature deaths from non-communicable diseases",1119142679,42.33749,-71.10814
"213","Boston Architectural College","http://the-bac.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",17866157,42.34846,-71.08574
"214","New England Aquarium Corporation","http://www.neaq.org/","Social","TBD","TBD","TBD",41538810,42.35914,-71.04967
"215","Berklee College Of Music Inc","https://www.berklee.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",259550477,42.34661,-71.08943
"216","Action For Boston Community Development","https://www.bostonabcd.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",157216004,42.35289,-71.0641
"217","Advent School Corporation","http://adventschool.org/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Lower secondary school enrollment",5738511,42.35821,-71.07177
"218","The American College Of Greece","http://www.acg.edu/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",38588679,42.35783,-71.0556
"219","Boston Ballet Inc","http://www.bostonballet.org/","Social","TBD","TBD","TBD",33215890,42.34473,-71.07191
"220","Community Builders Inc","http://www.tcbinc.org/","Social","Basic Human Needs","Shelter","Availability of affordable housing",64437816,42.34728,-71.0705
"221","Hundred Club Of Massachusetts Inc","http://100clubmass.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",543991,42.35079,-71.08485
"222","United Way Of Massachusetts Bay Inc","http://unitedwaymassbay.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",50104343,42.35252,-71.0485
"223","Architectural Heritage Foundation Inc",NA,"Social","TBD","TBD","TBD",648920,42.35806,-71.05922
"224","Museum Of Afro American History Inc","http://www.maah.org/","Social","TBD","TBD","TBD",2701660,42.35772,-71.06238
"225","Haley House Inc","http://haleyhouse.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",3153283,42.34372,-71.07392
"226","Hope House Inc","http://hopehouseboston.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",2696606,42.3306,-71.07446
"227","Massachusetts Continuing Legal Education Inc","http://www.mcle.org/","Social","TBD","TBD","TBD",5571072,42.3554,-71.06179
"228","South End Community Health Center Inc","http://www.sechc.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",14928665,42.33838,-71.07489
"229","Robert F Kennedy Childrens Action Corps","http://www.rfkchildren.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",18606831,42.35849,-71.06176
"230","Boston Lyric Opera Company","https://blo.org/","Social","TBD","TBD","TBD",11842838,42.35291,-71.06056
"231","Bridge Over Troubled Waters Inc","http://www.bridgeotw.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",4454988,42.30421,-70.88364
"232","Community Development Corporation Of Boston Inc",NA,"Social","Basic Human Needs","Shelter","Availability of affordable housing",1231661,42.3565,-71.05337
"233","Asian American Civic Association Inc","http://aaca-boston.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",3112689,42.34882,-71.06174
"234","National Consumer Law Center Inc","http://www.nclc.org/","Social","Opportunity","Personal Rights","Private property rights",11487586,42.35429,-71.05827
"235","South Cove Community Health Center Inc","http://www.scchc.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",33436567,42.35098,-71.05756
"236","Massachusetts League Of Community Health Centers Inc","http://www.massleague.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",12476272,42.35893,-71.05928
"237","Medical Academic And Scientific Community Organization Inc","http://www.masco.org/","Social","TBD","TBD","TBD",25188077,42.33987,-71.10837
"238","Fenway Community Health Center Inc","http://fenwayhealth.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",73416226,42.34404,-71.0989
"239","Pine Street Inn Inc","http://www.pinestreetinn.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",51954584,42.34312,-71.06444
"240","Bay Cove Human Services Inc","https://www.baycove.org","Social","Opportunity","Personal Freedom and Choice","Disability support",88458797,42.36367,-71.05969
"241","Learning Project Inc","http://www.learningproject.org/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Primary school enrollment",3073812,42.35354,-71.07708
"242","Catholic Charitable Bureau Of The Archdiocese Of Boston Inc","http://www.ccab.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",38805054,42.35252,-71.0485
"243","Boston Senior Home Care Inc","http://bostonseniorhomecare.info/","Social","Foundations of Wellbeing","Health and Wellness","Care for aging",36148760,42.35185,-71.05743
"244","Central Boston Elder Services Inc","http://www.centralboston.org/","Social","Foundations of Wellbeing","Health and Wellness","Care for aging",48265237,42.33019,-71.08465
"245","Roxbury Tenants Of Harvard Association Inc","http://www.missionpark.com/home.htm","Social","Opportunity","Tolerance and Inclusion","Community safety net",10725974,42.33446,-71.10917
"246","Victory Programs Inc","http://www.vpi.org/","Social","Basic Human Needs","Shelter","Housing support",11852362,42.32911,-71.06906
"247","Rosies Place Inc","http://www.rosiesplace.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",9331878,42.33406,-71.07693
"248","Public Responsibility In Medicine And Research","http://www.primr.org/","Social","TBD","TBD","TBD",4219601,42.35134,-71.06897
"249","Haymarket Peoples Fund Inc","http://www.haymarket.org/","Social","Opportunity","Tolerance and Inclusion","Discrimination and violence against minorities",1699705,42.31193,-71.11184
"250","New England Foundation For The Arts Inc","http://www.nefa.org/","Social","TBD","TBD","TBD",7160903,42.35527,-71.06285
"251","Elderhostel Inc","https://www.roadscholar.org/","Social","TBD","TBD","TBD",257010706,42.35291,-71.06056
"252","Fenway Community Development Corp","http://www.fenwaycdc.org/","Social","Basic Human Needs","Shelter","Availability of affordable housing",897595,42.34431,-71.08896
"253","JSI Research & Training Institute Inc","http://www.jsi.com/JSIInternet/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",232896103,42.35234,-71.04808
"254","Boston Local Development Corp","http://www.bostonredevelopmentauthority.org/work-with-the-bra/financing/bldc","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",1148669,42.36216,-71.06092
"255","Planned Parenthood League Of Massachusetts Inc","https://www.plannedparenthood.org/planned-parenthood-massachusetts","Social","Opportunity","Personal Freedom and Choice","Satisfied demand for contraception",20336603,42.35262,-71.12288
"256","C H M C ANESTHESIA FOUNDATION INC","http://www.childrenshospital.org/","Social","Basic Human Needs","Nutrition and Basic Medical Care","Deaths from infectious diseases",102734911,42.34658,-71.10107
"257","GIRL SCOUTS OF EASTERN MASSACHUSETTS INC","http://www.gsema.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",16708393,42.34728,-71.0705
"258","THE GREATER BOSTON FOOD BANK INC","http://www.gbfb.org/","Social","Basic Human Needs","Nutrition and Basic Medical Care","Undernourishment",85085340,42.33428,-71.06572
"259","WOMENS INSTITUTE FOR HOUSING AND ECONOMIC DEVELOPMENT INC","http://www.wihed.org/","Social","Basic Human Needs","Shelter","Housing support",1373232,42.35825,-71.05866
"260","CHINESE CONSOLIDATED BENEVOLENT ASSOCIATION OF NEW ENGLAND","http://www.ccbaboston.org/en/","Social","Opportunity","Tolerance and Inclusion","Tolerance for immigrants",2245130,42.34885,-71.06127
"261","MASSACHUSETTS COLLEGE OF ART AND DESIGN FOUNDATION INC","https://www.massart.edu/Support_MassArt/MassArt_Foundation.html","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",3180486,42.33694,-71.09934
"262","E B C D C INC","http://www.ebcdc.org/","Social","Basic Human Needs","Shelter","Housing support",4375720,42.3666,-71.0385
"263","CHILDRENS HOSPITAL CORPORATION","http://www.childrenshospital.org/","Social","Basic Human Needs","Nutrition and Basic Medical Care","Deaths from infectious diseases",1514532808,42.33741,-71.10555
"264","METROPOLITAN BOSTON HOUSING PARTNERSHIP INC","http://mbhp.org/","Social","Basic Human Needs","Shelter","Availability of affordable housing",129774799,42.35132,-71.05861
"265","FOUNDATION OF THE MASSACHUSETTS EYE AND EAR INFIRMARY INC","http://www.masseyeandear.org/","Social","TBD","TBD","TBD",25832766,42.36276,-71.07013
"266","MASSACHUSETTS LEGAL ASSISTANCE","http://mlac.org/","Social","Opportunity","Personal Rights","Political rights",22198752,42.35429,-71.05827
"267","ASIAN COMMUNITY DEVELOPMENT CORP","http://www.asiancdc.org/","Social","Basic Human Needs","Shelter","Availability of affordable housing",801489,42.25528,-71.12174
"268","HABITAT FOR HUMANITY INTERNATIONAL INC","http://www.habitat.org/","Social","Basic Human Needs","Shelter","Availability of affordable housing",2839982,42.36386,-71.05145
"269","VIETNAM VETERANS WORKSHOP INC","https://www2.uniteus.com/groups/vietnam-veterans-workshop-inc","Social","Basic Human Needs","Shelter","Housing support",11017719,42.35927,-71.05835
"270","CASTLE SQUARE TENANTS ORGANIZATION INC","http://www.cstoboston.org/","Social","Basic Human Needs","Shelter","Housing support",569667,42.34613,-71.0689
"271","STEPPINGSTONE FOUNDATION INC","http://www.tsf.org/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",5872834,42.34672,-71.06942
"272","MASSACHUSETTS HOUSING INVESTMENT CORP","http://www.mhic.com/","Social","Basic Human Needs","Shelter","Housing support",12442452,42.35573,-71.0562
"273","COMMONWEALTH ZOOLOGICAL CORPORATION","http://www.zoonewengland.org/","Social","TBD","TBD","TBD",16502923,42.30279,-71.08681
"274","ARTISTS FOR HUMANITY INC","http://afhboston.org/","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",7027874,42.34297,-71.05361
"275","BOSTON HEALTH CARE FOR THE HOMELESS PROGRAM INC","https://www.bhchp.org/","Social","Foundations of Wellbeing","Health and Wellness","Premature deaths from non-communicable diseases",49476332,42.33373,-71.07264
"276","THE HOUSING PARTNERSHIP NETWORK INC","http://www.housingpartnership.net/","Social","Basic Human Needs","Shelter","Housing support",13615021,42.3593,-71.05799
"277","CAMFIELD TENANTS ASSOCIATION INC","http://www.camfieldestates.com/home","Social","Basic Human Needs","Shelter","Housing support",84510,42.33721,-71.08156
"278","BOSTON COMMUNITY CAPITAL INC","http://www.bostoncommunitycapital.org/programs-services/venture-fund","Social","TBD","TBD","TBD",3534153,42.32929,-71.08638
"279","BOSTON COMMUNITY CAPITAL INC","http://www.bostoncommunitycapital.org/programs-services/venture-fund","Social","TBD","TBD","TBD",3534153,42.32929,-71.08638
"280","BOSTON COMMUNITY CAPITAL INC","http://www.bostoncommunitycapital.org/programs-services/venture-fund","Social","Basic Human Needs","Shelter","Housing support",3534153,42.32929,-71.08638
"281","BOSTON COMMUNITY CAPITAL INC","http://www.bostoncommunitycapital.org/programs-services/venture-fund","Social","Basic Human Needs","Shelter","Housing support",3534153,42.32929,-71.08638
"282","BOSTON COMMUNITY CAPITAL INC","http://www.bostoncommunitycapital.org/programs-services/venture-fund","Social","TBD","TBD","TBD",3534153,42.32929,-71.08638
"283","CITIZEN SCHOOLS INC","http://www.citizenschools.org/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Lower secondary school enrollment",26288331,42.35187,-71.04958
"284","JUMPSTART FOR YOUNG CHILDREN INC","https://www.jstart.org/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Primary school enrollment",17937508,42.35187,-71.04958
"285","ROGERSON HOUSE INC","http://www.rogersonhouse.org/","Social","Foundations of Wellbeing","Health and Wellness","Care for aging",5674077,42.2844,-71.12789
"286","NEW HOPE COMMUNITY CAPITAL INC","http://www.newhopehousinginc.org/index.html","Social","Basic Human Needs","Shelter","Availability of affordable housing",2477849,42.34728,-71.0705
"287","BOSTON MEDICAL CENTER CORPORATION","http://www.bmc.org/","Social","Basic Human Needs","Nutrition and Basic Medical Care","Deaths from infectious diseases",1120846589,42.36008,-71.05888
"288","BOTTOM LINE INC","https://www.bottomline.org/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",8753415,42.357,-71.05762
"289","COMMUNITY CATALYST INC","http://www.communitycatalyst.org/","Social","TBD","TBD","TBD",15353461,42.35611,-71.05683
"290","NEW PROFIT INC","http://www.newprofit.org/","Social","TBD","TBD","TBD",24413299,42.34922,-71.07512
"291","BOSTON ARTS ACADEMY FOUNDATION INC","http://bostonartsacademy.org/support-baa/baa-foundation/","Social","TBD","TBD","TBD",2236089,42.34618,-71.09497
"292","COMMUNITY RESOURCES FOR JUSTICE INC","http://www.crj.org/","Social","Foundations of Wellbeing","Health and Wellness","Access to mental health resources",41570054,42.352,-71.07153
"293","THE MATCH FOUNDATION INC","http://www.matcheducation.org/","Social","TBD","TBD","TBD",15957559,42.35221,-71.12095
"294","REACH OUT AND READ INC","http://www.reachoutandread.org/","Social","Foundations of Wellbeing","Access to Basic Knowledge","Primary school enrollment",12060303,42.35185,-71.05743
"295","HARVARD CLINICAL RESEARCH INSTITUTE INC","http://www.hcri.harvard.edu/","Social","Opportunity","Access to Advanced Education","Globally ranked universities",38517693,42.35086,-71.11783
"296","YEAR UP INC","http://www.yearup.org/","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",113865399,42.35656,-71.05758
"297","BOSTON PUBLIC MARKET","https://bostonpublicmarket.org/","Social","Opportunity","Personal Freedom and Choice","Freedom over life choices",6495939,42.36008,-71.05888
"298","PARTNERS IN HEALTH A NONPROFIT CORPORATION","http://www.pih.org/","Social","Basic Human Needs","Nutrition and Basic Medical Care","Deaths from infectious diseases",186945813,42.35043,-71.11526
"299","COMMONWEALTH CARE ALLIANCE INC","http://www.commonwealthcarealliance.org/","Social","Basic Human Needs","Nutrition and Basic Medical Care","Deaths from infectious diseases",585334659,42.35573,-71.0616
"300","APPALACHIAN MOUNTAIN CLUB","https://www.outdoors.org/","Social","Foundations of Wellbeing","Ecosystem Sustainability","Biodiversity and habitat",30302542,42.35796,-71.0654
"301","WEDIKO CHILDRENS SERVICES INC","http://www.wediko.org/","Social","Foundations of Wellbeing","Health and Wellness","Access to mental health resources",12530725,42.33916,-71.06917
"302","VINCENT MEMORIAL HOSPITAL","http://www.massgeneral.org/vcrb/about/hospitalhistory.aspx","Social","Foundations of Wellbeing","Health and Wellness","Premature deaths from non-communicable diseases",1841023,42.36008,-71.05888
"303","UNIVERSITY OF MASSACHUSETTS FOUNDATION INC","https://www.umassp.edu/foundation","Social","TBD","TBD","TBD",55826719,42.35793,-71.06205
"304","BOSTON LATIN SCHOOL ASSOCIATION","http://www.bls.org/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",9039273,42.3132,-71.09708
"305","AMERICAN FONDOUK MAINTENANCE COMMITTEE INC","http://www.americanfondouk.org/index.html","Social","Foundations of Wellbeing","Ecosystem Sustainability","Biodiversity and habitat",3046547,42.32289,-71.11121
"306","FRENCH CULTURAL CENTER INC","http://frenchculturalcenter.org/","Social","TBD","TBD","TBD",3256721,42.35408,-71.07479
"307","BOSTON BAR FOUNDATION INC","http://www.bostonbarfoundation.org/","Social","TBD","TBD","TBD",1796314,42.35777,-71.06251
"308","BOSTON ATHLETIC ASSOC","http://www.baa.org/","Social","TBD","TBD","TBD",16188593,42.34866,-71.07598
"309","JOHN FITZGERALD KENNEDY LIBRARY FOUNDATION INCORPORATED","http://www.jfklibrary.org/About-Us/JFK-Library-Foundation.aspx","Social","TBD","TBD","TBD",8716805,42.31485,-71.0354
"310","MASSACHUSETTS BAR FOUNDATION INC","http://www.massbarfoundation.org/","Social","TBD","TBD","TBD",2646933,42.25783,-71.11683
"311","CONSERVATION LAW FOUNDATION INC","http://www.clf.org/","Social","Foundations of Wellbeing","Ecosystem Sustainability","Greenhouse gas emissions",8594019,42.35436,-71.05855
"312","TRUSTEES OF THE PUBLIC LIBRARY OF THE CITY OF BOSTON","http://www.bpl.org/general/trustees/trustees.htm","Social","TBD","TBD","TBD",10700152,42.34942,-71.07883
"313","JOBS FOR THE FUTURE INC","http://www.jff.org/","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",31221336,42.35754,-71.05239
"314","FIDELITY INVESTMENTS CHARITABLE GIFT FUND","https://www.fidelitycharitable.org/","Social","TBD","TBD","TBD",5393562395,42.35148,-71.04047
"315","WORLD EDUCATION INC","http://www.worlded.org/WEIInternet/","Social","TBD","TBD","TBD",38248815,42.35234,-71.04808
"316","VOICE HEALTH INSTITUTE","http://www.voicehealth.org/","Social","TBD","TBD","TBD",460338,42.36183,-71.06216
"317","ANATOLIA COLLEGE","http://www.anatolia.edu.gr/","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",30270210,42.35861,-71.05957
"318","ARCHAEOLOGICAL INSTITUTE OF AMERICA","https://www.archaeological.org/","Social","TBD","TBD","TBD",7337733,42.34937,-71.09602
"319","TELLUS INSTITUTE INC","http://www.tellus.org/","Social","TBD","TBD","TBD",547764,42.35424,-71.07225
"320","FRONTIER SCIENCE AND TECHNOLOGY RESEARCH FOUNDATION INC","https://www.frontierscience.org/","Social","Foundations of Wellbeing","Health and Wellness","Premature deaths from non-communicable diseases",36883978,42.35056,-71.11622
"321","ROSE FITZGERALD KENNEDY GREENWAY CONSERVANCY INC","http://www.rosekennedygreenway.org/","Social","Foundations of Wellbeing","Ecosystem Sustainability","Biodiversity and habitat",6179867,42.34886,-71.0579
"322","AMC MAINE WOODS INC","https://www.outdoors.org/conservation/maine-woods/","Social","Foundations of Wellbeing","Ecosystem Sustainability","Biodiversity and habitat",1346935,42.35796,-71.0654
"323","FSG INC","http://www.fsg.org/","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",26179812,42.35044,-71.07427
"324","ASIAN HEALTHCARE FOUNDATION OFMASSACHUSETTS INC","http://theasianhealthfoundation.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",1834171,42.35098,-71.05756
"325","CATHOLIC SCHOOLS FOUNDATION INC","https://www.csfboston.org/","Social","Opportunity","Access to Advanced Education","Inequality in the attainment of education",15804389,42.35699,-71.05356
"326","SAINT FRANCIS HOUSE INC","http://www.stfrancishouse.org/site/PageServer?pagename=SFH_homepage","Social","Basic Human Needs","Shelter","Housing support",9133904,42.31788,-71.10856
"327","BIH PATHOLOGY FOUNDATION INC",NA,"Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",850424,42.36008,-71.05888
"328","BOSTON COMMUNITY LOAN FUND INC","http://www.bostoncommunitycapital.org/programs-services/loan-fund","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",11284433,42.32929,-71.08638
"329","CAREGROUP INC","http://www.caregroup.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",17390426,42.34629,-71.10083
"330","MASSACHUSETTS EYE AND EAR ASSOCIATES INCORPORATED","http://www.masseyeandear.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",106003067,42.36276,-71.07013
"331","HUNTINGTON THEATRE COMPANY INC","http://www.huntingtontheatre.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",12170011,42.34172,-71.08554
"332","AIDS ACTION COMMITTEE OF MASSACHUSETTS INC","http://www.aac.org/?referrer=https://www.google.com/","Social","Basic Human Needs","Nutrition and Basic Medical Care","Deaths from infectious diseases",10917610,42.32069,-71.09981
"333","HARVARD MEDICAL FACULTY PHYS AT BETH ISRAEL DEACONESS MED CTR INC","http://www.hmfphysicians.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",460438994,42.33987,-71.10837
"334","MAKE-A-WISH FOUNDATION OF MASSACHUSETTS AND RHODE ISLAND INC","http://massri.wish.org/#sm.001vsrpm21du2euqywz1213zbkbu2","Social","TBD","TBD","TBD",6069826,42.36162,-71.06087
"335","CITY YEAR INC","https://www.cityyear.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",140778529,42.34696,-71.07433
"336","CELEBRITY SERIES OF BOSTON","http://celebrityseries.org/","Social","Opportunity","Personal Freedom and Choice","Freedom over life choices",6770829,42.35134,-71.06897
"337","CERES INC","http://www.ceres.org/","Social","Opportunity","Personal Freedom and Choice","Freedom over life choices",11200281,42.35307,-71.06098
"338","TECHNICAL ASSISTANCE COLLABORATIVE INC","http://www.tacinc.org/","Social","Basic Human Needs","Shelter","Availability of affordable housing",7188129,42.35095,-71.07157
"339","TENANTS DEVELOPMENT CORPORATION","http://tenantsdevelopment.com/","Social","Opportunity","Tolerance and Inclusion","Community safety net",6837493,42.34155,-71.08271
"340","OXFAM-AMERICA INC","https://www.oxfamamerica.org/","Social","TBD","TBD","TBD",92324198,42.36675,-71.05932
"341","AMERICAN CENTER OF ORIENTAL RESEARCH IN AMMAN","http://acorjordan.org/index.php/en/","Social","TBD","TBD","TBD",4751867,42.34937,-71.09602
"342","PLANNING OFFICE FOR URBAN AFFAIRS INC","http://www.poua.org/","Social","Basic Human Needs","Shelter","Availability of affordable housing",1273548,42.35915,-71.05565
"343","EARTHWATCH INSTITUTE INC","http://earthwatch.org/","Social","Foundations of Wellbeing","Ecosystem Sustainability","Biodiversity and habitat",8002847,42.36321,-71.12444
"344","GREATER BOSTON CHINESE GOLDEN AGE CENTER INC","http://www.gbcgac.org/","Social","Foundations of Wellbeing","Health and Wellness","Care for aging",7183724,42.3501,-71.06067
"345","CASPAR INC","http://www.casparinc.org/","Social","TBD","TBD","TBD",4068077,42.36367,-71.05969
"346","NEW ENGLAND CONSERVATORY OF MUSIC","http://necmusic.edu/","Social","TBD","TBD","TBD",89773950,42.34116,-71.08656
"347","HALE-BARNARD CORPORATION","http://www.halebarnard.org/","Social","Foundations of Wellbeing","Health and Wellness","Care for aging",2667635,42.35378,-71.07651
"348","AMERICAN CIVIL LIBERTIES UNION FOUNDATION OF MASSACHUSETTS","https://aclum.org/","Social","Opportunity","Personal Rights","Political rights",2618854,42.35448,-71.0554
"349","HARVARD MANAGEMENT COMPANY INC","http://www.hmc.harvard.edu/","Social","Opportunity","Access to Advanced Education","Globally ranked universities",210425323,42.35273,-71.05364
"350","FRIENDS OF THE PUBLIC GARDEN INC","http://friendsofthepublicgarden.org/","Social","Foundations of Wellbeing","Ecosystem Sustainability","Biodiversity and habitat",2619413,42.35626,-71.06982
"351","THE AMERICAN IRELAND FUND","https://www.theirelandfunds.org/about","Social","Opportunity","Tolerance and Inclusion","Tolerance for immigrants",28347285,42.35448,-71.0554
"352","CHARTER SCHOOL FINANCING PARTNERSHIP LLC","http://www.housingpartnership.net/enterprises/charter-school-financing/","Social","Opportunity","Access to Advanced Education","Inequality in the attainment of education",207793,42.3593,-71.05799
"353","FAB FOUNDATION","http://fabfoundation.org/","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",1632548,42.357,-71.05762
"354","TUFTS MEDICAL CENTER PARENT INC","https://www.tuftsmedicalcenter.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",756927180,42.36008,-71.05888
"355","EDWARD M KENNEDY INSTITUTE FOR THE UNITED STATES SENATE INC","https://www.emkinstitute.org/","Social","Opportunity","Personal Rights","Political rights",9881011,42.31485,-71.0354
"356","CLINTON HEALTH ACCESS INITIATIVE INC","http://www.clintonhealthaccess.org/","Social","Basic Human Needs","Nutrition and Basic Medical Care","Deaths from infectious diseases",141696956,42.33501,-71.05764
"357","JA WORLDWIDE INC","https://www.jaworldwide.org/","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",17223020,42.3503,-71.0571
"358","SOCIAL FINANCE INC","http://socialfinance.org/contact-us/","Social","TBD","TBD","TBD",6936909,42.35676,-71.05812
"359","HANSJORG WYSS INSTITUTE FOR BIOLOGICALLY INSPIRED ENGINEERING","http://wyss.harvard.edu/","Social","Foundations of Wellbeing","Health and Wellness","Premature deaths from non-communicable diseases",37591760,42.33903,-71.10426
"360","CAPE ELEUTHERA FOUNDATION INC","http://www.capeeleutherafoundation.org/#welcome1","Social","Opportunity","Tolerance and Inclusion","Community safety net",3764644,42.35185,-71.05743
"361","PRESERVATION OF AFFORDABLE HOUSING INC","http://www.poah.org/","Social","Basic Human Needs","Shelter","Availability of affordable housing",39037562,42.35893,-71.05928
"362","THE BRIDGESPAN GROUP INC","http://www.bridgespan.org/Home.aspx","Social","TBD","TBD","TBD",74297307,42.34735,-71.0783
"363","HILLEL THE FOUNDATION FOR JEWISH CAMPUS LIFE","http://www.hillel.org/","Social","Opportunity","Personal Freedom and Choice","Freedom of religion",1352303,42.3508,-71.10311
