Organization,Website,Facebook,LinkedIn,Twitter,Pinterest,Organization Description,Programs or Key Initiatives,Program description,Possible Data Set,Open or Closed Data Set,Sector,Sector',Sector Level,Name,Headquarters Street Address,Headquarters City,Headquarters State,Headquarters Zip Code,Headquarters County,Headquarters Country,Region Served,Revenue,Revenue,Budget,NAICS Code,NAICS Definition,NTEE Code,NTEE Definition,Tax ID,Primary Dimension,Primary Componenet,Primary Indicator,SPI Dimension 2,SPI Component 2,SPI Indicator 2,SPI Dimension 3,SPI Component 3,SPI Indicator 3,SPI Dimension 4,SPI Component 4,SPI Indicator 4,SPI Dimension 5,SPI Component 5,SPI Indicator 5,SPI Dimension 6,SPI Component 6,SPI Indicator 6,Notes and Opportunities,Budget/Revenue,Latitude,Longitude
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/land-use/agricultural-business-training-program-abtp.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Agricultural Business Training Program (ABTP),"MDAR's Agricultural Business Training Program responds to market, loan, wage, regulation, economic factors of commerce, and other planning needs by raising awareness and providing a forum for feedback and support .","Training data, participant data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Opportunity,Personal Freedom and Choice,Employment opportunity,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,,,,,,,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/ag-composting-program.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Agricultural Composting Program,"
MDAR's Agricultural Composting Program (330 CMR 25.00) encourages and supports composting on farms by providing technical assistance to compost operators as well as an Agricultural Composting Registration process that allows qualifying farms to register their operations with MDAR under an Agricultural Waste Composting exemption in MassDEP's Site Assignment Regulations for Solid Waste Facilities (310 CMR 16.00). ",Composting data,Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,,,,,,,,,,,,,Incentive given for composting?,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Milkhouse Wastewater Pilot Program,MDAR and MassDEP have developed a pilot program to collect data to demonstrate the efficacy of Natural Resources Conservation Service (NRCS) designed wastewater treatment areas in managing milkhouse wastewater (MHW).,"Wastewater data, sanitaiton data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Water and Sanitation,Access to improved sanitation facilities,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,,,,,,,,,,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Agricultural Energy Grant Program (Ag-Energy),"The Massachusetts Department of Agricultural Resources (MDAR) Agricultural Energy Grant Program (Ag Energy) is a competitive grant program that funds agricultural energy projects in an effort to improve energy efficiency and to facilitate the adoption of alternative clean energy technologies by Massachusetts farms in order that farms can become more sustainable and the Commonwealth can maximize the environmental and economic benefits from these technologies.
","Grant data, facility data, performance data, spending data, cost data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,,,,"All-in-on farm regeristry app could have the ability to include licensing, buyer/seller connections, grant program, funding reimbursements, etc. Also, there is an ability to have a resource page where farmers share different energy saving projects with each other. ",,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Agricultural Energy Special Project Grant Program (ENER-SP),"The Massachusetts Department of Agricultural Resources (MDAR) Agricultural Energy Special Projects Grant Program (ENER-SP) is a competitive grant program that as a result of supplemental funding from Massachusetts Executive Office of Energy and Environmental Affairs (EEA) and the Department of Energy Resources (DOER) funds provides funding for ñSpecial Projectsî that are geared toward specific, higher capital cost, energy saving and energy replacement technology implementation opportunities that improve energy efficiency and facilitate alternative clean energy needs within agricultural operations. ","Grant data, project data, spending data, cost data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Agricultural Environmental Enhancement Program (AEEP),"
AEEP supports agricultural operations that are looking to install conservation practices that prevent direct impacts on water quality, ensure efficient use of water, as well as address impacts on air quality. Farmers selected to participate in the program are reimbursed up to $25,000 for the cost of materials and labor necessary for the installation of the approved practice.","Reimbursement data, participant data, performance data, conservation data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,Foundations of Wellbeing,Ecosystem Sustainability,Water withdrawals as a percent of resources,Basic Human Needs,Water and Sanitation,Rural access to improved water source,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,Make it easier for farmers to connect with these resources,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Agricultural Food Safety Improvement Program (AFSIP),The Agricultural Food Safety Improvement Program (AFSIP) supports agricultural operations that are looking to upgrade their food safety measures and thereby maintain or increase their competitive market access while reducing food safety risks. ,"Food data, illness data, performance data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,Foundations of Wellbeing,Health and Wellness,Premature deaths from non-communicable diseases,Basic Human Needs,Nutrition and Basic Medical Care,Child mortality rate,Opportunity,Personal Freedom and Choice,Employment opportunity,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",APR Improvement Program (AIP),The purpose of the APR Improvement Program (AIP) is to help sustain active commercial farming on land that has already been protected through the DepartmentÍs Agricultural Preservation Restriction (APR) Program. ,Farm land data,Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,Opportunity,Personal Rights,Private property rights,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,,,,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Farm Energy Discount Program,The Farm Energy Discount Program provides discounts on electricity and natural gas bills of 10% to eligible entities engaged in production agriculture.,"Discount data, billing data, spending data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,,,,,,,,,,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Farm Viability Enhancement Program (FVEP),"The Farm Viability Program seeks to improve the economic viability and environmental integrity of participating farms through the development and implementation of farm viability plans. The Program offers farmers environmental, technical and business planning assistance to expand, upgrade and modernize their existing operations. ","Economic data, environmental data, upgrade data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Opportunity,Personal Freedom and Choice,Employment opportunity,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,,,,,,,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Massachusetts Emergency Food Assistance Program (MEFAP),"The program was established to ensure that citizens in need have access to a supply of quality food in the Commonwealth. The program is implemented through a unique partnership between the state and a private, non-profit food distribution network made up of four regional food banks. ","Food distribution data, food data, recipient data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Basic Human Needs,Personal Safety,Emergency response,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,,,,,,,,,,Could be added to Propel,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Matching Enterprise Grants for Agriculture Program (MEGA),"The Matching Enterprise Grants for Agriculture Program (MEGA) seeks to help MassachusettsÍ farmers who have been in business for at least one, but no more than five years, acquire equipment and other non-land assets, or make infrastructure improvements, that can help insure the financial viability of their farm businesses.  Matching funds of up to $10,000 are available to implement improvement strategies after individual business review and analysis provided by the Department. ","Grant data, business data, marke data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Opportunity,Personal Freedom and Choice,Employment opportunity,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,,,,,,,,,,Would need to do more research to see if they know that this funding is available. ,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Rollover Protective Structure (ROPS) Retrofit Program,Program that helps insure farmers and equipment after rollovers.,Rollover data,Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Opportunity,Personal Freedom and Choice,Employment opportunity,,,,,,,,,,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Urban Agriculture Program,"The Massachusetts Department of Agricultural Resources recognizes that urban food production plays an important role in addressing health, social, economic and environmental issues and is working with organizations, municipalities, and sister agencies to support initiatives for commercial urban food production.","Urban ag data, ownership data, location data, cluster data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,,,,,,,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Apiary Program (honey bees),"MDARÍs Apiary Program has been established to promote and sustain apiculture in the Commonwealth by providing support to honey beekeepers, pesticide applicators, farmers, land managers, educators, regulators and government officials.","Bee data, pesticide data, owner data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,Opportunity,Personal Freedom and Choice,Employment opportunity,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,Opportunity,Personal Rights,Private property rights,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/about/divisions/dacta.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Good Agricultural Practices (GAP) & Good Handling Practices (GHP) Audit Program,This program is an audit based service. It is provided in order to assess a company's efforts to minimize the possibility of contamination of fresh fruits and vegetables by microbial contamination.,"Fruit and vegetable contamination data, cost data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Foundations of Wellbeing,Health and Wellness,Premature deaths from non-communicable diseases,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,,,,,,,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/markets/,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Agricultural Markets Program,"The mission of the DepartmentÍs Agricultural Marketing programs is to foster the sustainability of Massachusetts agribusiness through the innovative implementation of marketing, public relations and educational programs. ","Business data, education/training data, economic data, performance data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Opportunity,Personal Freedom and Choice,Employment opportunity,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,,,,,,,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/markets/logo-program/,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",MDAR Logo Program,"Initiative to increase the demand for Massachusetts products from within and from outside the region, increase the value of Massachusetts products, and increase farm business profitability.","MA Product data, Economic data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Opportunity,Personal Freedom and Choice,Employment opportunity,,,,,,,,,,,,,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/markets/agritourism/agricultural-directional-signage-program.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Agricultural Directional Signage Program,The Signage Program allows for the placement of agricultural directional signs along state roadways for farms located off those roadways.,"Signage data, performance data (Less accidents?)",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Opportunity,Personal Freedom and Choice,Transportation,,,,,,,,,,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/markets/fairs/,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Massachusetts Agricultural Fairs Program,"
MDAR advocates the public to absorb and educate themselves on the diversity of agriculture and its impact on the Massachusetts economy. MDAR supports and provides guidelines for all agricultural fairs in the Commonwealth.","Fair data, spending data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Opportunity,Personal Freedom and Choice,Employment opportunity,,,,,,,,,,,,,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/markets/farmers-markets/farmers-market-coupon-program.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Farmers' Market Nutrition Program,"he Massachusetts Farmers' Market Nutrition Program provides elders, and women and children in the Federal Supplemental Food Program for Women, Infants, and Children (WIC) with coupons for fresh fruits and vegetables redeemable at Farmers' Markets.","Spending data, farmers' market data, agricultural data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Basic Human Needs,Nutrition and Basic Medical Care,Child mortality rate,Basic Human Needs,Nutrition and Basic Medical Care,Maternal mortality rate,,,,,,,Currently in Propel,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/commonwealth-quality-program.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Commonwealth Quality Program,"Commonwealth Quality, a brand designed by the Massachusetts Department of Agricultural Resources, serves to identify locally sourced products that are grown, harvested and processed right here in Massachusetts using practices that are safe, sustainable and donÍt harm the environment.","Local MA farmer data, product data, cost data, spending data, market data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Opportunity,Personal Freedom and Choice,Employment opportunity,Foundations of Wellbeing,Health and Wellness,Premature deaths from non-communicable diseases,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,,,,,,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/markets/farm-to-school/,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Farm to School Project,"From kindergarten to college, interest in serving locally grown foods in cafeterias is increasing in Massachusetts and throughout the U.S.  Farm to school is a win-win effort.  ","Locally grown food data, spending data, buyer/supplier data",Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Opportunity,Personal Freedom and Choice,Employment opportunity,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,,,,,,,,,,"Resources to help local farmers, opportunty to pair up local resources with local buyers",,42.36638,-71.05896
Department of Agricultural Resources,http://www.mass.gov/eea/agencies/agr/markets/organic-cost-share-program-generic.html,,,https://twitter.com/mdarcommish,,"MDAR strives to support, regulate and enhance the rich diversity of the CommonwealthÍs agricultural community to promote economically and environmentally sound food safety and animal health measures, and fulfill agricultureÍs role in energy conservation and production.",Organic Cost Share Program,The Massachusetts Department of Agricultural Resources works with the USDA Agricultural Marketing Service to reimburse certified organic farmers and food processors up to 75% ($750 dollars maximum) of the total certification cost.,Organic produce data,Open,Public,Public,State,Massachusetts,251 Causeway Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Opportunity,Personal Freedom and Choice,Employment opportunity,Basic Human Needs,Nutrition and Basic Medical Care,Depth of food deficit,Basic Human Needs,Nutrition and Basic Medical Care,Undernourishment,,,,,,,,,,,,42.36638,-71.05896
Department of Energy Resources,http://www.mass.gov/hed/community/energy/weatherization-assistance-program-wap.html,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",Weatherization Assistance Program (WAP),The Low Income Weatherization Assistance Program (WAP) provides eligible households with full-scale home energy efficiency services.,"Energy data, product data, spending data, customer data",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Shelter,Housing support,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,Foundations of Wellbeing,Ecosystem Sustainability,Water withdrawals as a percent of resources,,,,,,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/hed/community/energy/heating-system-repair-and-replacement-program.html,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",Heating System Repair & Replacement Program (HEARTWAP),Heating Emergency Assistance Retrofit Task Weatherization Assistance Program (HEARTWAP) provides heating system repair and replacement services to low-income households.,"Energy data, product data, spending data, customer data",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Shelter,Housing support,,,,,,,,,,,,,,,,,,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/eea/energy-utilities-clean-tech/renewable-energy/renewable-thermal/renewable-heat-incentives.html,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",Renewable Heat Incentives,"A number of options are available through Mass Save, MassCEC, and tax exemptions.","Tax data, energy data, product data, spending data, customer data",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,Basic Human Needs,Shelter,Housing support,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,Foundations of Wellbeing,Ecosystem Sustainability,Water withdrawals as a percent of resources,,,,,,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/eea/energy-utilities-clean-tech/green-communities/gc-grant-program/,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",Green Communities Designation and Grant Program," The Green Communities Division staff continues to work with scores of other local government entities on an array of energy activities: from reducing energy use in municipal and school buildings to establishing power purchase agreements that enable financially attractive renewable energy generation, adopting the latest building codes, and much more.","Renewable energy data, facility data, product data, spending data, customer data",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,Foundations of Wellbeing,Ecosystem Sustainability,Water withdrawals as a percent of resources,Basic Human Needs,Shelter,Indoor air pollution attributable deaths,,,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/eea/energy-utilities-clean-tech/green-communities/massenergyinsight.html,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",MassEnergyInsight,MassEnergyInsight is an essential tool to help communities make sound decisions and take actions to maximize energy efficiency.,Community data,Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,Foundations of Wellbeing,Ecosystem Sustainability,Water withdrawals as a percent of resources,Basic Human Needs,Shelter,Indoor air pollution attributable deaths,,,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/eea/docs/doer/green-communities/eap/mass-save-municipal-sector-sheet.pdf,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",Mass Save Municipal Program,"Program based on incentives, financing, and training to increase energy efficiency.","Renewable energy data, facility data, product data, customer data, performance data training data",Open,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,TBD,TBD,TBD,Foundations of Wellbeing,Ecosystem Sustainability,Greenhouse gas emissions,Foundations of Wellbeing,Health and Wellness,Outdoor air pollution attributable deaths,Foundations of Wellbeing,Ecosystem Sustainability,Biodiversity and habitat,Foundations of Wellbeing,Ecosystem Sustainability,Water withdrawals as a percent of resources,Basic Human Needs,Shelter,Indoor air pollution attributable deaths,,,42.36047,-71.06209
Department of Energy Resources,http://www.mass.gov/eea/energy-utilities-clean-tech/green-communities/resources-for-green-communities.html,,,https://twitter.com/massEEA,,"Welcome to the Executive Office of Energy and Environmental Affairs (EEA), the only state Cabinet-level office in the country that oversees both environmental and energy agencies. ",PDFs of different grant programsƒ Include?,,,,Public,Public,State,Massachusetts,100 Cambridge Street,Boston,MA,2114,Suffolk,USA,MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.36047,-71.06209
